Fecha;Usuario;ID;Acceso;Descripción;IP
2024/11/01 08:57:21;#0 - null;4117291;CONN;(Sesiones activas 0) Sesión conectada ;-1
2024/11/01 08:57:16;#0 - null;4117290;CONN;(Sesiones activas -1) Sesión conectada ;-1
2024/11/01 08:36:29;#0 - null;4117289;CONN;(Sesiones activas -2) Sesión desconectada ;-1
2024/11/01 08:21:14;#0 - null;4117288;CONN;(Sesiones activas -1) Sesión desconectada ;-1
2024/11/01 08:18:47;#0 - null;4117287;CONN;(Sesiones activas 0) Sesión conectada ;-1
2024/11/01 08:15:09;#0 - null;4117286;CONN;(Sesiones activas -1) Sesión desconectada ;-1
2024/11/01 07:35:37;#0 - null;4117285;CONN;(Sesiones activas 0) Sesión conectada ;-1
2024/11/01 07:25:22;#0 - null;4117284;CONN;(Sesiones activas -1) Sesión desconectada ;-1
2024/11/01 07:20:48;#0 - null;4117283;CONN;(Sesiones activas 0) Sesión conectada ;-1
2024/11/01 07:14:48;#0 - null;4117282;CONN;(Sesiones activas -1) Sesión conectada ;-1
2024/11/01 06:25:20;#0 - null;4117281;CONN;(Sesiones activas -2) Sesión conectada ;-1
2024/11/01 05:00:05;#0 - null;4117280;CONN;(Sesiones activas -3) Sesión desconectada ;-1
2024/11/01 03:59:44;#0 - null;4117279;CONN;(Sesiones activas -2) Sesión conectada ;-1
2024/11/01 03:20:34;#0 - null;4117278;CONN;(Sesiones activas -3) Sesión desconectada ;-1
2024/11/01 03:15:30;#0 - null;4117277;CONN;(Sesiones activas -2) Sesión desconectada ;-1
2024/11/01 03:14:29;#0 - null;4117276;CONN;(Sesiones activas -1) Sesión desconectada ;-1
2024/11/01 02:49:38;#0 - null;4117275;CONN;(Sesiones activas 1) Sesión desconectada ;-1
2024/11/01 02:33:22;#0 - null;4117274;CONN;(Sesiones activas 2) Sesión desconectada ;-1
2024/11/01 02:32:22;#0 - null;4117273;CONN;(Sesiones activas 3) Sesión desconectada ;-1
2024/11/01 02:23:13;#0 - null;4117272;CONN;(Sesiones activas 4) Sesión desconectada ;-1
2024/11/01 02:20:12;#0 - null;4117271;CONN;(Sesiones activas 5) Sesión conectada ;-1
2024/11/01 02:15:06;#0 - null;4117270;CONN;(Sesiones activas 4) Sesión conectada ;-1
2024/11/01 02:13:30;#0 - null;4117269;CONN;(Sesiones activas 3) Sesión conectada ;-1
2024/11/01 02:01:50;#0 - null;4117268;CONN;(Sesiones activas 2) Sesión desconectada ;-1
2024/11/01 01:50:39;#0 - null;4117267;CONN;(Sesiones activas 3) Sesión desconectada ;-1
2024/11/01 01:49:37;#0 - null;4117266;CONN;(Sesiones activas 4) Sesión conectada ;-1
2024/11/01 01:32:58;#0 - null;4117265;CONN;(Sesiones activas 3) Sesión conectada ;-1
2024/11/01 01:32:06;#0 - null;4117264;CONN;(Sesiones activas 2) Sesión conectada ;-1
2024/11/01 01:27:16;#0 - null;4117263;CONN;(Sesiones activas 1) Sesión desconectada ;-1
2024/11/01 01:22:38;#0 - null;4117262;CONN;(Sesiones activas 2) Sesión conectada ;-1
2024/11/01 01:01:25;#0 - null;4117261;CONN;(Sesiones activas 1) Sesión conectada ;-1
2024/11/01 00:50:11;#0 - null;4117260;CONN;(Sesiones activas 0) Sesión conectada ;-1
2024/11/01 00:30:18;#54 - mueblesmesa;4117259;CONN;(Sesiones activas -1) Sesión desconectada ;66.81.182.143
2024/11/01 00:30:18;#54 - mueblesmesa;4117258;OK;Duración de la sesión:  97.32722 minutos;66.81.182.143
2024/11/01 00:30:18;#54 - mueblesmesa;4117257;OK;Logout userID: 54;66.81.182.143
2024/11/01 00:28:16;#0 - null;4117256;CONN;(Sesiones activas 0) Sesión desconectada ;-1
2024/11/01 00:26:52;#0 - null;4117255;CONN;(Sesiones activas 1) Sesión conectada ;-1
2024/11/01 00:07:56;#0 - null;4117254;CONN;(Sesiones activas 0) Sesión desconectada ;-1
2024/10/31 23:27:25;#0 - null;4117253;CONN;(Sesiones activas 1) Sesión conectada ;-1
2024/10/31 23:21:24;#54 - mueblesmesa;4117252;OK;Añadida la pieza AB1501 con id 34511 del catálogo MUEBLES MÁGINA - Kloset en el diseño con id: 81438;66.81.182.143
2024/10/31 23:17:29;#54 - mueblesmesa;4117251;OK;Añadida la pieza CA290 con id 232311 del catálogo MUEBLES MÁGINA - Kloset en el diseño con id: 81438;66.81.182.143
2024/10/31 23:15:59;#54 - mueblesmesa;4117250;OK;Añadida la pieza EE-PCI-02 con id 19940 del catálogo Estandar en el diseño con id: 81438;66.81.182.143
2024/10/31 23:10:29;#54 - mueblesmesa;4117249;OK;Añadida la pieza EE-ENC-01 con id 19990 del catálogo Estandar en el diseño con id: 81438;66.81.182.143
2024/10/31 23:09:24;#54 - mueblesmesa;4117248;OK;Añadida la pieza EE-INT-02 con id 19988 del catálogo Estandar en el diseño con id: 81438;66.81.182.143
2024/10/31 23:07:40;#0 - null;4117247;CONN;(Sesiones activas 0) Sesión conectada ;-1
2024/10/31 23:06:46;#54 - mueblesmesa;4117246;OK;Añadida la pieza MC451C con id 232394 del catálogo MUEBLES MÁGINA - Kloset en el diseño con id: 81438;66.81.182.143
