Fecha;Usuario;ID;Acceso;Descripción;IP
2024/09/17 13:14:40;#17823 - MUEBLES CAPEL;3936697;OK;Cargado el diseño con id: 70824;139.47.10.235
2024/09/17 13:14:31;#3068 - INTERIORES ESTELA;3936696;CONN;(Sesiones activas 58) Sesión desconectada ;93.156.223.134
2024/09/17 13:14:31;#3068 - INTERIORES ESTELA;3936695;OK;Duración de la sesión:  64.08822 minutos;93.156.223.134
2024/09/17 13:14:31;#3068 - INTERIORES ESTELA;3936694;OK;Logout userID: 3068;93.156.223.134
2024/09/17 13:14:30;#0 - null;3936693;CONN;(Sesiones activas 59) Sesión conectada ;-1
2024/09/17 13:14:18;#14787 - JGORBE PILAR;3936692;OK;Añadida la pieza EE-PCI-01 con id 19939 del catálogo Estandar en el diseño con id: 77588;46.26.254.5
2024/09/17 13:14:17;#15297 - SANCHEZ GINER JUNCARIL;3936691;OK;Login userID: 15297;84.124.77.201
2024/09/17 13:14:08;#0 - null;3936690;CONN;(Sesiones activas 58) Sesión conectada ;-1
2024/09/17 13:13:53;#1262 - FACTORIA ASTURIAS ;3936689;OK;Añadida la pieza MC1715 con id 455252 del catálogo MONTES - Social Style en el diseño con id: 77155;188.227.132.224
2024/09/17 13:13:47;#14190 - GRANOLLERS MUBAK LUCINI;3936688;OK;Añadida la pieza 3524 con id 476980 del catálogo LANMOBEL - Eternal en el diseño con id: 77602;185.41.99.157
2024/09/17 13:13:35;#13859 - MUEBLES PILAR GRAU SA;3936687;OK;Añadida la pieza M10274 con id 416903 del catálogo APARICIO DONOSO - Explora 2.0 en el diseño con id: 77420;185.249.232.38
2024/09/17 13:13:30;#16617 - PONSON SYLVIE;3936686;CONN;(Sesiones activas 57) Sesión desconectada ;81.65.135.52
2024/09/17 13:13:30;#16617 - PONSON SYLVIE;3936685;OK;Duración de la sesión:  106.37199 minutos;81.65.135.52
2024/09/17 13:13:30;#16617 - PONSON SYLVIE;3936684;OK;Logout userID: 16617;81.65.135.52
2024/09/17 13:13:26;#1262 - FACTORIA ASTURIAS ;3936683;OK;Añadida la pieza MM2761 con id 455853 del catálogo MONTES - Social Style en el diseño con id: 77155;188.227.132.224
2024/09/17 13:13:13;#0 - null;3936682;CONN;(Sesiones activas 58) Sesión conectada ;-1
2024/09/17 13:13:13;#3638 - MUEBLES REQUEJO;3936681;CONN;(Sesiones activas 57) Sesión desconectada ;188.171.5.52
2024/09/17 13:13:13;#3638 - MUEBLES REQUEJO;3936680;OK;Duración de la sesión:  7.1666164 minutos;188.171.5.52
2024/09/17 13:13:13;#3638 - MUEBLES REQUEJO;3936679;OK;Logout userID: 3638;188.171.5.52
2024/09/17 13:12:28;#14190 - GRANOLLERS MUBAK LUCINI;3936678;OK;Añadida la pieza 4806 con id 486860 del catálogo LANMOBEL - Infinite en el diseño con id: 77602;185.41.99.157
2024/09/17 13:12:13;#1262 - FACTORIA ASTURIAS ;3936677;OK;Visualizar presupuesto para el diseño con id: 77155;188.227.132.224
2024/09/17 13:11:57;#14787 - JGORBE PILAR;3936676;OK;Añadida la pieza G340009 con id 254194 del catálogo JGORBE - Oficina en el diseño con id: 77588;46.26.254.5
2024/09/17 13:11:57;#14787 - JGORBE PILAR;3936675;OK;Añadida la pieza EE-PCR-02 con id 19969 del catálogo Estandar en el diseño con id: 77588;46.26.254.5
2024/09/17 13:11:49;#7245 - MUEBLES LOZANO ;3936674;OK;Añadida la pieza 2026 con id 259162 del catálogo LANMOBEL - Adapt en el diseño con id: 64062;89.29.219.252
2024/09/17 13:11:44;#16398 - PORTANOVA DECORACION;3936673;OK;Login userID: 16398;81.42.227.157
2024/09/17 13:11:38;#0 - null;3936672;CONN;(Sesiones activas 58) Sesión conectada ;-1
2024/09/17 13:11:38;#7245 - MUEBLES LOZANO ;3936671;OK;Añadida la pieza ED-LIB-02 con id 20052 del catálogo Estandar en el diseño con id: 64062;89.29.219.252
2024/09/17 13:11:27;#8046 - MUEBLES VERONICA;3936670;CONN;(Sesiones activas 57) Sesión desconectada ;79.146.206.20
2024/09/17 13:11:27;#8046 - MUEBLES VERONICA;3936669;OK;Duración de la sesión:  102.8819 minutos;79.146.206.20
2024/09/17 13:11:27;#8046 - MUEBLES VERONICA;3936668;OK;Logout userID: 8046;79.146.206.20
2024/09/17 13:11:26;#14190 - GRANOLLERS MUBAK LUCINI;3936667;OK;Añadida la pieza 4313 con id 476441 del catálogo LANMOBEL - Eternal en el diseño con id: 77602;185.41.99.157
2024/09/17 13:11:21;#13859 - MUEBLES PILAR GRAU SA;3936666;OK;Añadida la pieza M10200 con id 417406 del catálogo APARICIO DONOSO - Explora 2.0 en el diseño con id: 77420;185.249.232.38
2024/09/17 13:10:39;#7245 - MUEBLES LOZANO ;3936665;OK;Añadida la pieza 5421 con id 261429 del catálogo LANMOBEL - Adapt en el diseño con id: 64062;89.29.219.252
2024/09/17 13:10:08;#7245 - MUEBLES LOZANO ;3936664;OK;Cargado el diseño con id: 64062;89.29.219.252
2024/09/17 13:09:56;#14787 - JGORBE PILAR;3936663;OK;Añadida la pieza B-260U con id 298283 del catálogo JGORBE - Juvenil en el diseño con id: 77588;46.26.254.5
2024/09/17 13:09:53;#14190 - GRANOLLERS MUBAK LUCINI;3936662;OK;Creado el diseño con id: 77602;185.41.99.157
2024/09/17 13:09:47;#7245 - MUEBLES LOZANO ;3936661;OK;Login userID: 7245;89.29.219.252
2024/09/17 13:09:45;#14190 - GRANOLLERS MUBAK LUCINI;3936660;OK;Añadida la pieza 4268 con id 476410 del catálogo LANMOBEL - Eternal en el diseño con id: -1;185.41.99.157
2024/09/17 13:09:41;#0 - null;3936659;CONN;(Sesiones activas 58) Sesión conectada ;-1
2024/09/17 13:08:33;#14190 - GRANOLLERS MUBAK LUCINI;3936658;OK;Añadida la pieza 3074 con id 481499 del catálogo LANMOBEL - Eternal en el diseño con id: -1;185.41.99.157
2024/09/17 13:08:29;#14867 - TUADESIGN;3936657;OK;Visualizar presupuesto para el diseño con id: 77000;84.126.185.178
2024/09/17 13:07:21;#2784 - MUEBLES BOSQUE;3936656;CONN;(Sesiones activas 57) Sesión desconectada ;207.188.189.66
2024/09/17 13:07:21;#2784 - MUEBLES BOSQUE;3936655;OK;Duración de la sesión:  141.63571 minutos;207.188.189.66
2024/09/17 13:07:21;#2784 - MUEBLES BOSQUE;3936654;OK;Logout userID: 2784;207.188.189.66
2024/09/17 13:07:09;#14787 - JGORBE PILAR;3936653;OK;Añadida la pieza B-261U con id 298284 del catálogo JGORBE - Juvenil en el diseño con id: 77588;46.26.254.5
2024/09/17 13:06:49;#3638 - MUEBLES REQUEJO;3936652;OK;Añadida la pieza 7246 con id 475344 del catálogo LANMOBEL - Eternal en el diseño con id: 72595;188.171.5.52
2024/09/17 13:06:44;#14190 - GRANOLLERS MUBAK LUCINI;3936651;OK;Añadida la pieza TP979 con id 467069 del catálogo GRUPO EXOJO - Creta Top V.6 en el diseño con id: -1;185.41.99.157
2024/09/17 13:06:35;#3638 - MUEBLES REQUEJO;3936650;OK;Cargado el diseño con id: 72595;188.171.5.52
2024/09/17 13:06:29;#1262 - FACTORIA ASTURIAS ;3936649;OK;Añadida la pieza MA0910 con id 454873 del catálogo MONTES - Social Style en el diseño con id: 77155;188.227.132.224
2024/09/17 13:06:09;#3638 - MUEBLES REQUEJO;3936648;OK;Login userID: 3638;188.171.5.52
2024/09/17 13:05:43;#0 - null;3936647;CONN;(Sesiones activas 58) Sesión conectada ;-1
2024/09/17 13:05:43;#0 - null;3936646;CONN;(Sesiones activas 57) Sesión conectada ;-1
2024/09/17 13:05:43;#16860 - FERNANDO MANTECA;3936645;CONN;(Sesiones activas 56) Sesión desconectada ;79.117.213.90
2024/09/17 13:05:43;#16860 - FERNANDO MANTECA;3936644;OK;Duración de la sesión:  72.92247 minutos;79.117.213.90
2024/09/17 13:05:43;#16860 - FERNANDO MANTECA;3936643;OK;Logout userID: 16860;79.117.213.90
2024/09/17 13:05:40;#14190 - GRANOLLERS MUBAK LUCINI;3936642;OK;Añadida la pieza EE-RAD-01 con id 19986 del catálogo Estandar en el diseño con id: -1;185.41.99.157
2024/09/17 13:05:21;#14190 - GRANOLLERS MUBAK LUCINI;3936641;OK;Añadida la pieza EE-VCR-01 con id 19965 del catálogo Estandar en el diseño con id: -1;185.41.99.157
2024/09/17 13:04:45;#14190 - GRANOLLERS MUBAK LUCINI;3936640;OK;Añadida la pieza EE-PCI-01 con id 19939 del catálogo Estandar en el diseño con id: -1;185.41.99.157
